Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,class
ADAD2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1998.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.745750363,0.498,0.0,1.0,1.0,1.0,1.0,0.501756147,0.847787778,19.15172316,364.0,0.01169003,0.0,1.0,4.9850002,0.47922055,4.9850002,0.47922055,-6.6034935,1.15572745,0.578606396,0.059092497,0.0
ADAMTS18,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3666.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.397950518,0.176,0.0,2.0,2.0,0.934579439,0.967004124,0.374953131,0.730422328,15.9193012,1102.0,-0.02624841,0.0,0.0,0.06999992,0.30995265,3.585,0.21320449,-3.4450002,0.2224445,1.452178934,0.045042453,0.0
ADAT1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1509.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.357852181,0.936,0.0,1.0,1.0,0.708717222,1.0,0.693962526,0.947492933,18.77745857,354.0,0.0182845,1.95e-06,3.0,0.855,0.0190125,1.83,2.5973119,-0.12,1.15572745,0.080617099,0.059092497,0.0
ANKRD11,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,7992.0,0.0,0.0,0.0,0.666666667,0.0,1.0,0.333333333,0.0,1.0,0.532153004,0.686333333,0.0,2.0,3.0,0.161576991,1.0,0.434782609,0.79691701,19.10586824,502.343055,0.014617034,5.19e-06,18.0,-0.595,0.0777187,1.8749999,0.038920494,-1.83,0.05554867,0.06112626,0.000103287,0.0
ARMC5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2808.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.522277752,0.258,0.0,1.0,1.0,0.76394194,1.0,0.415973378,0.780837777,19.67844162,558.0,0.01138035,2.78e-06,4.0,-1.69,0.017672,5.5857964,2.5973119,-1.69,0.017672,0.578606396,0.059092497,0.0
BFAR,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1353.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.080553,0.033,0.0,1.0,1.0,0.742390497,1.0,0.698324022,0.949072674,18.98750496,367.0,0.04454265,8.67e-05,20.0,-1.43,0.10125,0.82,2.5973119,-3.68,1.15572745,0.065867592,0.059092497,0.0
CACNA1H,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7062.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.334072761,0.3625,0.0,2.0,2.0,0.052609428,1.0,0.13685507,0.409036923,20.28208505,294.0,0.02125794,6.83e-07,3.0,-0.26499997,0.10124967,2.13,0.042049997,-2.66,0.032257996,0.767376156,0.001156544,0.0
CBFA2T3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1962.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.257206485,0.095,0.0,1.0,1.0,0.340020401,1.0,0.288517023,0.647144025,19.10586824,502.343055,0.014617034,0.000326629,24.0,-1.83,0.12600201,0.68,2.5973119,-4.34,1.15572745,0.6344373,0.059092497,0.0
CBFB,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,564.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.302651567,0.908,0.0,1.0,1.0,0.00329,1.0,0.23364486,0.573353507,20.02736609,125.0,0.04752437,4.21e-05,25.0,-3.56,0.32,0.44,2.5973119,-7.56,1.15572745,0.06667734,0.059092497,0.0
CCP110,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3039.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.318932605,0.728,0.0,1.0,1.0,0.511508951,1.0,0.705716302,0.951688046,18.41697973,491.0,0.02055489,8.35e-05,33.0,56.995,64.604336,56.995,64.604336,-6.6034935,1.15572745,0.578606396,0.059092497,0.0
