gene,Score,p,qvalue
SZT2,0.9999999,0.004102924799249785,0.3932584269662954
CCDC168,0.9999999,0.004102924799249785,0.3932584269662954
REV3L,0.9999999,0.004102924799249785,0.3932584269662954
TTC3,0.9999999,0.004102924799249785,0.3932584269662954
DNAH2,0.9999999,0.004102924799249785,0.3932584269662954
KCNK12,0.9999999,0.004102924799249785,0.3932584269662954
POLE,0.9999999,0.004102924799249785,0.3932584269662954
C10orf95,0.9999999,0.004102924799249785,0.3932584269662954
ARID4B,0.9999999,0.004102924799249785,0.3932584269662954
TVP23A,0.9999999,0.004102924799249785,0.3932584269662954
DMXL2,0.9999999,0.004102924799249785,0.3932584269662954
ZNF236,0.99999976,0.0053338022390246875,0.44396551724137684
RBBP6,0.99999976,0.0053338022390246875,0.44396551724137684
CAND1,0.99999976,0.0053338022390246875,0.44396551724137684
LRRIQ1,0.99999976,0.0053338022390246875,0.44396551724137684
BRWD3,0.99999976,0.0053338022390246875,0.44396551724137684
HAMP,0.99999976,0.0053338022390246875,0.44396551724137684
VHL,0.99999976,0.0053338022390246875,0.44396551724137684
CSMD1,0.99999976,0.0053338022390246875,0.44396551724137684
DYNC1H1,0.99999976,0.0053338022390246875,0.44396551724137684
NCOR2,0.99999976,0.0053338022390246875,0.44396551724137684
PRPF8,0.99999976,0.0053338022390246875,0.44396551724137684
DICER1,0.99999976,0.0053338022390246875,0.44396551724137684
PLXNC1,0.99999976,0.0053338022390246875,0.44396551724137684
HSH2D,0.99999976,0.0053338022390246875,0.44396551724137684
MORC4,0.99999976,0.0053338022390246875,0.44396551724137684
POLR2A,0.99999976,0.0053338022390246875,0.44396551724137684
MED12,0.99999976,0.0053338022390246875,0.44396551724137684
ZBTB20,0.99999976,0.0053338022390246875,0.44396551724137684
ABCA12,0.99999976,0.0053338022390246875,0.44396551724137684
HERC1,0.99999964,0.00556825508469605,0.44396551724137684
APOB,0.99999964,0.00556825508469605,0.44396551724137684
NAA15,0.99999964,0.00556825508469605,0.44396551724137684
DNAH3,0.99999964,0.00556825508469605,0.44396551724137684
SMG1,0.99999964,0.00556825508469605,0.44396551724137684
DNAH14,0.99999964,0.00556825508469605,0.44396551724137684
UNC13C,0.99999964,0.00556825508469605,0.44396551724137684
MAP1B,0.99999964,0.00556825508469605,0.44396551724137684
E2F1,0.99999964,0.00556825508469605,0.44396551724137684
FBN1,0.99999964,0.00556825508469605,0.44396551724137684
TRRAP,0.99999964,0.00556825508469605,0.44396551724137684
VCAN,0.99999964,0.00556825508469605,0.44396551724137684
FBN2,0.99999964,0.00556825508469605,0.44396551724137684
CHD8,0.99999964,0.00556825508469605,0.44396551724137684
PBRM1,0.99999964,0.00556825508469605,0.44396551724137684
MBD6,0.9999995,0.006037160776038886,0.44396551724137684
AP1S1,0.9999995,0.006037160776038886,0.44396551724137684
CUX1,0.9999995,0.006037160776038886,0.44396551724137684
CHD1,0.9999995,0.006037160776038886,0.44396551724137684
ANKRD26,0.9999995,0.006037160776038886,0.44396551724137684
COX6B2,0.9999995,0.006037160776038886,0.44396551724137684
PIEZO2,0.9999995,0.006037160776038886,0.44396551724137684
FRY,0.9999995,0.006037160776038886,0.44396551724137684
MTOR,0.9999995,0.006037160776038886,0.44396551724137684
AHNAK2,0.9999995,0.006037160776038886,0.44396551724137684
CNTLN,0.9999995,0.006037160776038886,0.44396551724137684
DTX4,0.9999995,0.006037160776038886,0.44396551724137684
F8,0.9999995,0.006037160776038886,0.44396551724137684
RANBP2,0.9999995,0.006037160776038886,0.44396551724137684
ANK2,0.9999995,0.006037160776038886,0.44396551724137684
NAV3,0.9999995,0.006037160776038886,0.44396551724137684
UNC79,0.9999995,0.006037160776038886,0.44396551724137684
PSMA3,0.9999995,0.006037160776038886,0.44396551724137684
ZMYM4,0.9999995,0.006037160776038886,0.44396551724137684
LRP1,0.9999995,0.006037160776038886,0.44396551724137684
BMF,0.9999994,0.0066819061016353265,0.468253968253966
GPR112,0.9999994,0.0066819061016353265,0.468253968253966
DCC,0.9999994,0.0066819061016353265,0.468253968253966
LARP7,0.9999994,0.0066819061016353265,0.468253968253966
TTK,0.9999994,0.0066819061016353265,0.468253968253966
PRRG1,0.9999994,0.0066819061016353265,0.468253968253966
CACNA1F,0.9999994,0.0066819061016353265,0.468253968253966
TNFSF4,0.9999994,0.0066819061016353265,0.468253968253966
SYCP2,0.9999994,0.0066819061016353265,0.468253968253966
CACNA1D,0.9999994,0.0066819061016353265,0.468253968253966
ELMSAN1,0.9999994,0.0066819061016353265,0.468253968253966
CNTN6,0.9999993,0.006916358947306689,0.468253968253966
WDFY4,0.9999993,0.006916358947306689,0.468253968253966
WDFY3,0.9999993,0.006916358947306689,0.468253968253966
CUL5,0.9999993,0.006916358947306689,0.468253968253966
ASCC3,0.9999993,0.006916358947306689,0.468253968253966
SOS1,0.9999993,0.006916358947306689,0.468253968253966
AGO1,0.9999993,0.006916358947306689,0.468253968253966
ZC3H13,0.9999993,0.006916358947306689,0.468253968253966
