gene,Score,p,qvalue
MBD6,0.99999976,0.006771888663751668,0.7698657829306614
MZB1,0.99999976,0.006771888663751668,0.7698657829306614
APOB,0.99999976,0.006771888663751668,0.7698657829306614
VPS13B,0.99999964,0.007198464327610066,0.7886026738538154
SLC35G3,0.99999964,0.007198464327610066,0.7886026738538154
KDM5C,0.99999964,0.007198464327610066,0.7886026738538154
FLT3,0.99999964,0.007198464327610066,0.7886026738538154
CD52,0.99999964,0.007198464327610066,0.7886026738538154
DNAH9,0.99999964,0.007198464327610066,0.7886026738538154
CNIH1,0.9999995,0.007731683907433062,0.8016159192969512
CTSK,0.9999995,0.007731683907433062,0.8016159192969512
UXT,0.9999995,0.007731683907433062,0.8016159192969512
UBR5,0.9999995,0.007731683907433062,0.8016159192969512
SPEN,0.9999994,0.008104937613309104,0.8016159192969512
RHEB,0.9999994,0.008104937613309104,0.8016159192969512
MPV17L,0.9999994,0.008104937613309104,0.8016159192969512
KIAA1109,0.9999994,0.008104937613309104,0.8016159192969512
PCDH15,0.9999994,0.008104937613309104,0.8016159192969512
ZNF140,0.9999994,0.008104937613309104,0.8016159192969512
ROCK1,0.9999994,0.008104937613309104,0.8016159192969512
NBEA,0.9999993,0.008424869361202902,0.8016159192969512
HNRNPA1L2,0.9999993,0.008424869361202902,0.8016159192969512
MVB12B,0.9999993,0.008424869361202902,0.8016159192969512
ANKRD36C,0.9999993,0.008424869361202902,0.8016159192969512
EIF2S2,0.9999993,0.008424869361202902,0.8016159192969512
NFE2L3,0.99999917,0.008584835235149857,0.8016159192969512
FAT3,0.99999917,0.008584835235149857,0.8016159192969512
TET2,0.99999917,0.008584835235149857,0.8016159192969512
C1QTNF5,0.99999917,0.008584835235149857,0.8016159192969512
ZNF878,0.99999917,0.008584835235149857,0.8016159192969512
PRDX3,0.99999917,0.008584835235149857,0.8016159192969512
PPP1R9B,0.99999917,0.008584835235149857,0.8016159192969512
LRRK2,0.99999905,0.0088514450250613,0.8016159192969512
C1orf21,0.99999905,0.0088514450250613,0.8016159192969512
CSMD1,0.99999905,0.0088514450250613,0.8016159192969512
CDK12,0.99999905,0.0088514450250613,0.8016159192969512
PSIP1,0.99999905,0.0088514450250613,0.8016159192969512
PKHD1L1,0.99999905,0.0088514450250613,0.8016159192969512
SLC50A1,0.9999989,0.0088514450250613,0.8016159192969512
TTR,0.9999989,0.0088514450250613,0.8016159192969512
SNRPD3,0.9999989,0.0088514450250613,0.8016159192969512
VPS13C,0.9999989,0.0088514450250613,0.8016159192969512
ASPM,0.9999989,0.0088514450250613,0.8016159192969512
LRP1,0.9999988,0.008958088941025899,0.8016159192969512
AJUBA,0.9999988,0.008958088941025899,0.8016159192969512
AHNAK2,0.9999988,0.008958088941025899,0.8016159192969512
RBM10,0.9999987,0.009224698730937342,0.8055345616445574
RQCD1,0.9999987,0.009224698730937342,0.8055345616445574
PRUNE2,0.9999987,0.009224698730937342,0.8055345616445574
OR2T3,0.9999987,0.009224698730937342,0.8055345616445574
MACF1,0.9999987,0.009224698730937342,0.8055345616445574
ZC3H13,0.99999857,0.00943798656286654,0.8062090679222041
LAMA2,0.99999857,0.00943798656286654,0.8062090679222041
MYCBP2,0.99999857,0.00943798656286654,0.8062090679222041
TCF12,0.99999845,0.00954463047883114,0.8062090679222041
WDFY3,0.99999845,0.00954463047883114,0.8062090679222041
MORN2,0.99999845,0.00954463047883114,0.8062090679222041
GDF5OS,0.99999845,0.00954463047883114,0.8062090679222041
AKAP9,0.99999833,0.009811240268742694,0.8142851364122737
FBRSL1,0.99999833,0.009811240268742694,0.8142851364122737
HES7,0.99999833,0.009811240268742694,0.8142851364122737
RAB28,0.9999982,0.009917884184707293,0.8142851364122737
JUN,0.9999981,0.010131172016636492,0.8142851364122737
DOCK3,0.9999981,0.010131172016636492,0.8142851364122737
UNC13C,0.9999981,0.010131172016636492,0.8142851364122737
COPS4,0.999998,0.01023781593260098,0.8142851364122737
KRTAP4-11,0.999998,0.01023781593260098,0.8142851364122737
ITPR2,0.999998,0.01023781593260098,0.8142851364122737
MDN1,0.99999785,0.01034445984856558,0.8142851364122737
DYNC2H1,0.99999785,0.01034445984856558,0.8142851364122737
DBR1,0.99999785,0.01034445984856558,0.8142851364122737
NUTF2,0.99999785,0.01034445984856558,0.8142851364122737
HLA-B,0.99999785,0.01034445984856558,0.8142851364122737
CCK,0.99999774,0.010451103764530179,0.8142851364122737
CHCHD4,0.99999774,0.010451103764530179,0.8142851364122737
NOTCH2,0.99999774,0.010451103764530179,0.8142851364122737
HYDIN,0.9999975,0.010771035512423976,0.8326003644045313
TBX3,0.9999974,0.010824357470406332,0.8326003644045313
RYR1,0.9999974,0.010824357470406332,0.8326003644045313
TWIST1,0.99999726,0.01103764530233553,0.835334684156267
GIGYF2,0.99999726,0.01103764530233553,0.835334684156267
AHNAK,0.99999714,0.011090967260317774,0.835334684156267
GGCT,0.99999714,0.011090967260317774,0.835334684156267
ADH5,0.99999714,0.011090967260317774,0.835334684156267
GNRHR,0.999997,0.011250933134264729,0.8403796170866498
CDH10,0.999997,0.011250933134264729,0.8403796170866498
HNRNPA3,0.9999969,0.011517542924176172,0.8453680933449595
CEP290,0.99999654,0.01183747467206997,0.8453680933449595
SAMD5,0.99999654,0.01183747467206997,0.8453680933449595
CBFB,0.99999654,0.01183747467206997,0.8453680933449595
ASH1L,0.9999963,0.011997440546016813,0.8453680933449595
ACER2,0.9999963,0.011997440546016813,0.8453680933449595
BSN,0.99999595,0.012264050335928367,0.8453680933449595
GFRA4,0.99999595,0.012264050335928367,0.8453680933449595
FBN2,0.99999595,0.012264050335928367,0.8453680933449595
ASXL1,0.9999958,0.012264050335928367,0.8453680933449595
JOSD1,0.9999957,0.012370694251892966,0.8453680933449595
DYNC1H1,0.9999957,0.012370694251892966,0.8453680933449595
KRT15,0.9999957,0.012370694251892966,0.8453680933449595
NMRK1,0.99999547,0.01242401620987521,0.8453680933449595
RELN,0.99999547,0.01242401620987521,0.8453680933449595
HNRNPA1,0.99999535,0.012477338167857455,0.8453680933449595
EMG1,0.99999523,0.01263730404180441,0.8453680933449595
NCOR2,0.9999949,0.012690625999786653,0.8453680933449595
MUC5B,0.9999949,0.012690625999786653,0.8453680933449595
SENP8,0.9999949,0.012690625999786653,0.8453680933449595
LARP4B,0.99999475,0.012797269915751253,0.8453680933449595
CRIPT,0.99999475,0.012797269915751253,0.8453680933449595
TCF7L2,0.99999464,0.012797269915751253,0.8453680933449595
HAX1,0.9999945,0.012850591873733608,0.8453680933449595
SI,0.9999945,0.012850591873733608,0.8453680933449595
CCAR1,0.9999945,0.012850591873733608,0.8453680933449595
HNRNPD,0.9999943,0.012957235789698207,0.8453680933449595
SMAD2,0.99999416,0.013010557747680451,0.8453680933449595
STXBP6,0.99999404,0.01311720166364505,0.8453680933449595
USP28,0.9999939,0.013170523621627406,0.8453680933449595
TARDBP,0.9999938,0.013170523621627406,0.8453680933449595
GPX7,0.9999937,0.013277167537592005,0.8453680933449595
EPHA2,0.9999937,0.013277167537592005,0.8453680933449595
DNAH10,0.99999356,0.013277167537592005,0.8453680933449595
VPS13A,0.99999356,0.013277167537592005,0.8453680933449595
BRE,0.99999344,0.01333048949557425,0.8453680933449595
RAPGEF6,0.99999344,0.01333048949557425,0.8453680933449595
C20orf27,0.9999931,0.013490455369521204,0.8453680933449595
ZNF750,0.9999931,0.013490455369521204,0.8453680933449595
ARID4B,0.9999931,0.013490455369521204,0.8453680933449595
CHD4,0.9999925,0.013597099285485803,0.8453680933449595
DNAH3,0.9999924,0.013650421243468047,0.8453680933449595
FAM210B,0.9999919,0.01381038711741489,0.8453680933449595
REV3L,0.9999919,0.01381038711741489,0.8453680933449595
FRAS1,0.9999918,0.01381038711741489,0.8453680933449595
