Cancer,ActiveDriver,2020plus,e-Driver,CompositeDriver,CHASM,VEST,Trans-Driver,DriverNet,HotMAPS
ACC,4.301029995665424,15.276434541197395,3.8239087409521546,7.301008280396828,-0.0,8.265481782554037,11.098786273297016,4.868793276541137,-0.0
BLCA,1.8673423699343439,71.95719071739606,25.348622255970014,33.48737925955695,11.236120824171612,18.311279722125324,83.4423354054789,27.740222978480144,32.66616496638416
BRCA,2.319508054770379,45.226912464151646,14.51871661626562,33.23793398347217,14.951098099230089,20.910839523231783,56.56026417665394,16.381394870309638,18.77099560441504
CESC,-0.0,57.512791211658296,11.721687919493629,23.623698161446363,9.630377541598143,18.291466138646154,46.63251817804106,22.871473380267734,2.9208187539560364
CHOL,3.5229004616350403,11.125000010001036,-0.0,3.69897000433889,-0.0,8.514379328136688,13.305264505127237,-0.0,-0.0
COAD,5.8650194032962215,40.24288391262279,17.83497560303269,16.038961645148067,13.08729132725876,14.886196295941472,44.923461295244536,19.612849461349413,22.65445907482612
DLBC,-0.0,18.281875429125538,-0.0,2.9209382073376307,3.928249318201486,7.68284936977487,23.98540784710513,4.824886327634895,-0.0
ESCA,-0.0,27.935513024259947,6.560645590910919,8.782744153719833,4.4375113652462534,11.729000182355616,34.07280674542129,5.8407953285598255,9.668507556582883
GBM,8.292820875554863,30.515517023435066,5.389752562763664,23.199363937675457,10.74690944663149,14.331367978408469,29.24439644213976,20.443557002851144,21.17248692972842
HNSC,-0.0,57.59066510037536,18.871091728190624,42.428259490092756,11.286054983367997,20.304590888836998,66.42551356796297,20.351303146619422,31.773567117783156
KICH,-0.0,6.74476369414273,-0.0,3.999999999995836,2.1260032635415036,4.676944683190654,7.1249170213369455,6.221827034345003,-0.0
KIRC,-0.0,24.827113939184777,9.782450908899632,31.152657870833174,11.31530838436648,10.131138682603858,23.359737958370154,13.76504113644274,9.466862193057084
KIRP,-0.0,18.058733668788747,3.0458443624977654,5.966757244782619,4.364874773896413,5.426530836121985,23.422981959632896,5.929500942087079,-0.0
LAML,6.0836546571009595,27.852617304208344,-0.0,11.536685379349324,15.385303717819736,8.737713159739787,29.284730069552364,16.585313710294926,9.138549812666001
LGG,9.001021948756064,46.19800765735657,16.629145189046383,29.34997267494169,12.429989416384814,18.187240016851746,51.85398033123347,28.058636131045606,23.309615671585767
LIHC,4.9461183822893515,49.94342748414586,11.325950708923063,10.150798219122487,7.0913319830248405,14.321746349380948,44.32988481396129,16.167879147402118,8.38799922806718
LUAD,4.46777673962492,38.69665596322835,23.2709053856612,21.795010720177903,8.133346272079871,11.512533916010666,37.102374371914486,20.423078477335903,16.139946839316668
LUSC,1.923087174461664,51.43524635848209,7.700871823945072,18.61943428501489,6.156910649078715,11.101185037873407,40.71342627167155,9.335703742168327,16.25385292390627
MESO,-0.0,15.276434541197395,-0.0,11.124873589724713,1.7003862943652108,10.147484793436194,15.94819623654878,2.3773371781741237,-0.0
OV,-0.0,20.517049843784203,3.3979400086693037,9.07589992397787,5.561822850757249,5.511928237413039,20.716618716625096,4.171604799117053,6.74470577962692
PAAD,-0.0,27.425665755280622,6.8538502490540685,16.761109593197382,5.520888148453791,10.697227136601896,26.443184979373427,12.874252500688272,13.1291732460716
PCPG,3.69897000433889,15.276434541197395,3.69897000433889,11.522813598393983,6.095052560387188,4.005939505676816,15.94819623654878,7.342242797166672,3.8239087409521546
PRAD,3.301029995669623,34.112389562406726,9.782450908899632,15.34629917694979,9.535185474407717,9.658743047144004,29.074203930862982,12.290453806372433,8.96189142507935
READ,-0.0,26.47784634944566,3.124938736600662,18.679850167080733,18.746197183224012,12.212662482468716,28.32035342358275,17.48998570187138,9.29236467701356
SARC,-0.0,10.823843594055127,3.8239087409521546,11.52281359839255,2.8904065028968797,4.926533007515533,9.067968738384039,5.024316751547588,3.69897000433889
SKCM,9.812771265291744,36.145247023177404,10.483804241791464,19.734246894651278,6.6015207864869865,6.591649805078793,29.25205255235793,18.666665883781615,7.659529910882602
STAD,1.9020279994568254,40.11129441311979,11.959564114542127,28.032943855869767,10.977854063977507,9.443050324371928,38.94547002892389,17.819572616284,20.688953686546533
TGCT,3.602059991326569,12.17960051910811,3.602059991326569,19.42575156874776,8.072303971372575,-0.0,12.270658804306589,7.9604687626579045,7.124917021340507
THCA,10.580805545369632,22.215904599072857,3.3979400086693037,17.677563541739612,6.175738972876232,2.7223250247392676,19.683500802358168,11.002560287295815,10.823843594055127
THYM,-0.0,6.346881603337328,-0.0,11.522813598393983,3.824019540480732,4.171604799117053,9.44374638673025,8.00787710848818,7.301008280396828
UCEC,4.1125260983457705,90.28508627603844,44.3017631419298,-0.0,14.483887885307636,12.279058772986621,55.012122494981966,17.46183032625203,41.38353397381273
UCS,-0.0,39.40138712743115,9.782450908899632,6.4089136776972255,12.115872937082315,15.761816757099382,30.992996534294804,15.4125553044109,15.785468939044211
UVM,-0.0,21.965819178065598,-0.0,14.279710400654244,8.13708320050942,1.9176814487071534,12.735798748713174,7.912886625263669,10.200594303656045
