gene_id,gene,pvalue
1741.0,KAT2B,0.99994016
953.0,KIT,0.99993944
3892.0,DGKZ,0.99993896
2736.0,MAPK8IP3,0.99993896
1850.0,MAP3K1,0.9999386
215.0,NGFR,0.99993837
1206.0,HUWE1,0.99993837
1638.0,ENAH,0.9999379
138.0,CCNG1,0.99993753
9136.0,CSNK1G1,0.9999374
5361.0,UHRF2,0.99993706
1828.0,PLCE1,0.99993694
3478.0,BRCC3,0.9999368
4025.0,SMG1,0.9999367
9275.0,MNDA,0.9999367
2025.0,DDX3X,0.9999361
709.0,SMAD2,0.9999356
48.0,HERC2,0.9999354
2466.0,TRIM24,0.9999354
99.0,ZNF420,0.99993503
6557.0,ANXA10,0.9999347
5080.0,EXOSC7,0.99993455
518.0,HEY1,0.99993384
136.0,MDM2,0.9999331
124.0,PLK2,0.999933
4626.0,BACH1,0.99993277
8568.0,MYL9,0.99993277
2212.0,MVP,0.9999325
5822.0,ARL3,0.99993074
2734.0,RB1CC1,0.9999293
572.0,MYC,0.99992895
2699.0,PELI2,0.99992895
5143.0,PPM1D,0.9999287
5177.0,CRYAB,0.9999287
10890.0,CETP,0.9999287
4478.0,ING4,0.9999286
7871.0,GFI1,0.99992776
958.0,MET,0.9999275
10810.0,FOXP1,0.99992716
10138.0,ZNF679,0.9999263
1456.0,CREB1,0.9999262
6996.0,TOPBP1,0.999926
4564.0,FBP2,0.9999255
2245.0,CCNG2,0.99992454
1731.0,SOCS1,0.9999244
510.0,IRF7,0.9999244
1553.0,RB1,0.9999242
4608.0,PNP,0.99992406
3898.0,TRAIP,0.99992335
10916.0,USP28,0.9999229
1986.0,SMARCC1,0.9999229
736.0,IL13RA2,0.99992275
9690.0,KMT2E,0.9999225
1322.0,SOS2,0.9999223
9389.0,NTHL1,0.99992216
2790.0,MED1,0.99992216
1690.0,PRKD1,0.9999219
1183.0,ARNT,0.9999217
467.0,TLR6,0.9999217
929.0,PRMT5,0.9999213
6279.0,NABP1,0.9999206
10729.0,ZNF514,0.9999198
2107.0,PPP3CA,0.99991894
5525.0,RORC,0.9999187
2623.0,KPNA4,0.99991834
11274.0,FOXA2,0.9999174
1847.0,IQGAP1,0.99991727
161.0,TFAP2B,0.99991703
2067.0,MYH10,0.9999168
5222.0,S100A1,0.9999167
3009.0,BCR,0.99991655
1547.0,SAFB,0.9999162
4929.0,SCN3B,0.99991584
4644.0,KDM6A,0.99991536
3046.0,CUL7,0.99991536
5590.0,TAF1B,0.999915
22.0,SRC,0.99991465
125.0,PLK3,0.99991405
3520.0,SUPT6H,0.99991405
8906.0,TRIM45,0.99991405
1196.0,NR3C1,0.9999138
4391.0,TAF1,0.9999138
8081.0,SREBF1,0.9999137
106.0,PIDD1,0.99991333
1356.0,AR,0.9999132
103.0,AIFM2,0.9999131
4691.0,WAC,0.99991286
7133.0,SMYD2,0.99991226
625.0,MAPK6,0.99991214
5605.0,TFAP4,0.99991035
11922.0,ITPKC,0.99991035
1637.0,VASP,0.9999101
333.0,PTPN11,0.9999095
2778.0,ACSL4,0.9999094
3136.0,SPSB1,0.99990916
183.0,SMAD1,0.9999087
1394.0,NCOR2,0.9999087
1890.0,VDR,0.99990857
4018.0,FKBP4,0.9999083
137.0,MDM4,0.9999081
3928.0,ITGB1BP2,0.99990714
6518.0,RHD,0.99990714
3228.0,S100A4,0.99990606
5965.0,ZBTB2,0.9999058
8512.0,ZNF302,0.9999057
8390.0,GABRB1,0.9999057
4972.0,EIF2S3,0.99990547
110.0,CASP10,0.99990475
2952.0,ACACA,0.99990463
9456.0,MSL2,0.99990463
3773.0,BRD8,0.99990404
2629.0,SENP1,0.99990344
2279.0,ERCC2,0.99990237
108.0,NLRC4,0.99990225
4219.0,TSC22D1,0.9999021
906.0,TDG,0.99990153
1758.0,PATZ1,0.9999012
319.0,PIK3R3,0.9999008
289.0,RASGRF1,0.99990046
1535.0,MCL1,0.9999002
5674.0,SULT1E1,0.99989986
3602.0,NCOA6,0.9998995
1881.0,THRB,0.9998994
1044.0,CUL9,0.99989915
6454.0,NUDT16L1,0.999899
7630.0,SMYD3,0.999899
4359.0,TRIM59,0.99989784
7954.0,AIPL1,0.9998977
239.0,PCCA,0.9998975
1754.0,NSD2,0.9998975
1428.0,TP63,0.9998975
10057.0,POLA1,0.99989724
4751.0,RPS27,0.9998969
37.0,ATM,0.9998964
336.0,STAT1,0.9998963
3403.0,MSH2,0.99989617
2507.0,DAB2IP,0.99989605
2125.0,PC,0.99989605
9280.0,HINFP,0.9998956
122.0,BAX,0.9998956
156.0,EHMT1,0.99989545
100.0,STEAP3,0.99989545
915.0,DDX17,0.99989533
1398.0,WT1,0.9998946
8957.0,TSPY1,0.999894
8676.0,TAF1C,0.99989283
800.0,USP9X,0.99989235
