Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,class
KDR,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4071.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.241998831,0.922,0.0,1.0,1.0,0.538213132,0.986735055,0.176865936,0.479182028,17.41855267,706.0,0.002962429,4.5e-05,31.0,-3.78,0.436639,0.035,2.45e-05,-11.41,3.512319,0.068916025,0.031927407,0.0
LIAS,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1119.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.262895447,0.837,0.0,1.0,1.0,0.798722045,1.0,0.517598344,0.858465702,19.3072146,177.0,0.0427968,0.0,0.0,-14.52,6.386124,0.16,3.2186646,-21.86,9.539712,0.049422515,0.031927407,0.0
LRIT3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2040.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.257318631,0.683,0.0,1.0,1.0,0.057218058,1.0,0.876424189,0.992028984,17.69884843,462.0,0.02772033,0.0,0.0,-3.78,0.436639,0.035,2.45e-05,-11.41,3.512319,0.482861738,0.031927407,0.0
N4BP2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5313.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,1.0,2.008915236,0.5105,0.0,1.0,2.0,0.997008973,1.0,0.17876296,0.486538183,19.04400689,260.0,0.04524548,9.83e-07,10.0,-4.044,0.3226843,0.056666665,2.63e-05,-10.1950005,0.029524503,0.482861738,0.031927407,0.0
NEIL3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1818.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.190288529,0.111,0.0,1.0,1.0,0.235960359,1.0,0.932835821,0.997692223,15.70444621,746.0,-0.01963672,0.0,2.0,0.295,0.0029645,0.68,3.2186646,-0.09,3.512319,0.625891308,0.031927407,0.0
PCDH10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3123.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.295155422,0.931,0.0,1.0,1.0,0.272331155,1.0,0.494804552,0.842945294,13.21016205,1355.0,-0.03137907,7.65e-08,3.0,-18.365,6.3190125,8.27606,3.2186646,-18.365,6.3190125,0.482861738,0.031927407,0.0
PCDH7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3768.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.734687691,0.646,0.0,1.0,1.0,0.048283521,0.252649836,0.192715359,0.195843392,14.80622838,682.0,0.006331301,8.7e-06,12.0,3.3033334,0.33341432,5.015,0.4910405,-0.12,3.512319,1.160997689,0.031927407,0.0
PF4V1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,315.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.733633735,0.13,0.0,1.0,1.0,1.0,1.0,0.141803744,0.418790593,17.83264035,444.0,0.005766451,0.0,1.0,-25.305,13.071385,0.26,3.2186646,-50.87,3.512319,0.582427685,0.031927407,0.0
PRSS12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2628.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.439752862,0.134,0.0,1.0,1.0,0.144362639,1.0,0.094795715,0.318137366,17.30114605,917.0,0.000548608,0.0,0.0,-14.420001,4.0726583,8.27606,3.2186646,-14.420001,4.0726583,0.828874287,0.031927407,0.0
PYURF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,345.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.805968608,0.18,0.0,1.0,1.0,0.620363099,0.913706806,0.418974707,0.626261866,19.22547434,466.8741959,0.018313406,0.0,0.0,-14.064999,3.9004244,8.27606,3.2186646,-14.064999,3.9004244,0.482861738,0.031927407,0.0
SEC31A,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3663.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.097853206,0.074,0.0,1.0,1.0,0.834724541,1.0,0.865051903,0.990454819,19.56484427,268.0,0.03844401,0.000112927,43.0,6.52,0.8346321,6.52,0.8346321,-8.8916674,3.512319,0.482861738,0.031927407,0.0
SLIT2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4590.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.257318631,0.972,0.0,1.0,1.0,0.848176421,1.0,0.157529931,0.448667266,15.43112343,1366.0,0.003279991,3.21e-05,8.0,25.355,12.59518,25.355,12.59518,-8.8916674,3.512319,0.444914506,0.031927407,0.0
SPATA4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,918.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.310565047,0.793,0.0,1.0,1.0,0.858369099,1.0,0.230043708,0.568089706,17.03899934,504.0,-0.003969579,2.77e-06,3.0,-16.583334,8.230321,8.27606,3.2186646,-16.583334,8.230321,0.155707413,0.031927407,0.0
THAP9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2712.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.822959145,0.247,0.0,1.0,1.0,0.932835821,1.0,0.698324022,0.949072674,19.57053801,268.0,0.04247845,0.0,1.0,0.06,2e-06,0.06,2e-06,-8.8916674,3.512319,0.106739738,0.031927407,0.0
TLR1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2361.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.318932605,0.859,0.0,1.0,1.0,0.838222967,1.0,0.620732464,0.916731908,18.24200083,437.0,0.05826428,7.09e-09,2.0,5.3566664,0.82518235,8.13,1.188882,-0.19,3.512319,0.482861738,0.031927407,0.0
UGT2B17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1593.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.477457244,0.537,0.0,1.0,1.0,1.0,1.0,0.362318841,0.730156043,16.70832682,748.0,-0.004942019,0.0,0.0,-1.055,0.0163805,8.27606,3.2186646,-1.055,0.0163805,0.482861738,0.031927407,0.0
